dataset,n_samples,n_features,n_classes,train_per_class,train_rows,test_rows,seed,schedule,schedule_family,learning_rate,eta0,accuracy,macro_f1,log_loss,fit_seconds,n_iter,convergence_warning_count,status
wine,178,13,3,8,24,154,121,invscaling_003,invscaling,invscaling,0.003,0.9025974025974026,0.9078190428856251,0.9319965311832012,0.00136142699921038,67,0,PASS
wine,178,13,3,8,24,154,121,adaptive_0003,adaptive,adaptive,0.0003,0.935064935064935,0.9388918622728547,0.6275060419644304,0.0016186619977816008,181,0,PASS
wine,178,13,3,8,24,154,121,adaptive_001,adaptive,adaptive,0.001,0.9545454545454546,0.9566857515743932,0.43940451317896784,0.0015551569958915934,157,0,PASS
wine,178,13,3,8,24,154,121,adaptive_003,adaptive,adaptive,0.003,0.9545454545454546,0.9566857515743932,0.31218647131435306,0.0015211350037134252,128,0,PASS
wine,178,13,3,8,24,154,169,constant_0003,constant,constant,0.0003,0.948051948051948,0.9497766131848796,0.620081615878974,0.0015937580028548837,175,0,PASS
wine,178,13,3,8,24,154,169,constant_001,constant,constant,0.001,0.961038961038961,0.9617613310384394,0.44129472172811096,0.0015175070002442226,142,0,PASS
wine,178,13,3,8,24,154,169,constant_003,constant,constant,0.003,0.948051948051948,0.9499447807198131,0.33119747005655736,0.001397983003698755,100,0,PASS
wine,178,13,3,8,24,154,169,invscaling_0003,invscaling,invscaling,0.0003,0.9090909090909091,0.9116984631690513,1.0909861638214897,0.0011539789993548766,8,0,PASS
wine,178,13,3,8,24,154,169,invscaling_001,invscaling,invscaling,0.001,0.8961038961038961,0.897668201116477,1.0565739381119577,0.0012579270041896962,28,0,PASS
wine,178,13,3,8,24,154,169,invscaling_003,invscaling,invscaling,0.003,0.9090909090909091,0.9116984631690513,0.9195029529201579,0.001361168993753381,76,0,PASS
wine,178,13,3,8,24,154,169,adaptive_0003,adaptive,adaptive,0.0003,0.948051948051948,0.9497766131848796,0.6184798900303117,0.0016485919986735098,195,0,PASS
wine,178,13,3,8,24,154,169,adaptive_001,adaptive,adaptive,0.001,0.961038961038961,0.9617613310384394,0.4396002029512418,0.0015463430027011782,167,0,PASS
wine,178,13,3,8,24,154,169,adaptive_003,adaptive,adaptive,0.003,0.948051948051948,0.9499447807198131,0.3294580992470791,0.0015129390012589283,125,0,PASS
wine,178,13,3,8,24,154,203,constant_0003,constant,constant,0.0003,0.9285714285714286,0.9308361983272234,0.6136042566547804,0.001779630001692567,163,0,PASS
wine,178,13,3,8,24,154,203,constant_001,constant,constant,0.001,0.948051948051948,0.9497766131848796,0.42540270300278865,0.001498321995313745,136,0,PASS
wine,178,13,3,8,24,154,203,constant_003,constant,constant,0.003,0.948051948051948,0.9497766131848796,0.3066479528122099,0.0015940260054776445,101,0,PASS
wine,178,13,3,8,24,154,203,invscaling_0003,invscaling,invscaling,0.0003,0.8831168831168831,0.885176143491676,1.0910080146297347,0.0011704049975378439,8,0,PASS
wine,178,13,3,8,24,154,203,invscaling_001,invscaling,invscaling,0.001,0.8701298701298701,0.8726058354470564,1.0569876709455222,0.0012241730000823736,27,0,PASS
wine,178,13,3,8,24,154,203,invscaling_003,invscaling,invscaling,0.003,0.8896103896103896,0.8914304042823499,0.9201646709643184,0.001352588995359838,74,0,PASS
wine,178,13,3,8,24,154,203,adaptive_0003,adaptive,adaptive,0.0003,0.9285714285714286,0.9308361983272234,0.6119408666483339,0.001636875000258442,183,0,PASS
wine,178,13,3,8,24,154,203,adaptive_001,adaptive,adaptive,0.001,0.948051948051948,0.9497766131848796,0.42360891051610666,0.0015787550000823103,161,0,PASS
wine,178,13,3,8,24,154,203,adaptive_003,adaptive,adaptive,0.003,0.948051948051948,0.9497766131848796,0.30474122315361424,0.0015072640017024241,126,0,PASS
wine,178,13,3,8,24,154,247,constant_0003,constant,constant,0.0003,0.9415584415584416,0.9429096344984197,0.5808092816436716,0.001586434998898767,166,0,PASS
wine,178,13,3,8,24,154,247,constant_001,constant,constant,0.001,0.948051948051948,0.9489494977182856,0.39197000736039966,0.0015265399997588247,143,0,PASS
wine,178,13,3,8,24,154,247,constant_003,constant,constant,0.003,0.961038961038961,0.9610500610500609,0.2841181579120571,0.0014589459970011376,104,0,PASS
wine,178,13,3,8,24,154,247,invscaling_0003,invscaling,invscaling,0.0003,0.922077922077922,0.9238977097357534,1.0914032864655752,0.0011827760026790202,7,0,PASS
wine,178,13,3,8,24,154,247,invscaling_001,invscaling,invscaling,0.001,0.9025974025974026,0.9038926073408833,1.0610337626670108,0.0012149260001024231,20,0,PASS
wine,178,13,3,8,24,154,247,invscaling_003,invscaling,invscaling,0.003,0.9090909090909091,0.9108350951374207,0.9219065728437555,0.0013291450013639405,67,0,PASS
wine,178,13,3,8,24,154,247,adaptive_0003,adaptive,adaptive,0.0003,0.948051948051948,0.9489494977182856,0.5791600836964336,0.0017207019991474226,186,0,PASS
wine,178,13,3,8,24,154,247,adaptive_001,adaptive,adaptive,0.001,0.948051948051948,0.9489494977182856,0.39034273826887117,0.0016328479978255928,168,0,PASS
wine,178,13,3,8,24,154,247,adaptive_003,adaptive,adaptive,0.003,0.961038961038961,0.9610500610500609,0.28249125857006246,0.001572427005157806,129,0,PASS
wine,178,13,3,8,24,154,314,constant_0003,constant,constant,0.0003,0.922077922077922,0.9247968405863144,0.6263909233818208,0.001595009001903236,163,0,PASS
wine,178,13,3,8,24,154,314,constant_001,constant,constant,0.001,0.9545454545454546,0.9557919580789792,0.43072620974018644,0.001578422001330182,142,0,PASS
wine,178,13,3,8,24,154,314,constant_003,constant,constant,0.003,0.9675324675324676,0.9676939290760429,0.3020761499052055,0.001434598998457659,106,0,PASS
wine,178,13,3,8,24,154,314,invscaling_0003,invscaling,invscaling,0.0003,0.8376623376623377,0.8369688238244058,1.091696522146436,0.0013316919939825311,8,0,PASS
wine,178,13,3,8,24,154,314,invscaling_001,invscaling,invscaling,0.001,0.8311688311688312,0.8303052503052504,1.062413931752797,0.001233267001225613,24,0,PASS
wine,178,13,3,8,24,154,314,invscaling_003,invscaling,invscaling,0.003,0.8376623376623377,0.8377196694028376,0.9341810446140262,0.001311015003011562,74,0,PASS
wine,178,13,3,8,24,154,314,adaptive_0003,adaptive,adaptive,0.0003,0.922077922077922,0.9247968405863144,0.6247332218983573,0.0017784730007406324,183,0,PASS
wine,178,13,3,8,24,154,314,adaptive_001,adaptive,adaptive,0.001,0.9545454545454546,0.9557919580789792,0.42891524910752704,0.0015851950010983273,167,0,PASS
wine,178,13,3,8,24,154,314,adaptive_003,adaptive,adaptive,0.003,0.9675324675324676,0.9676939290760429,0.3000893668658851,0.0015661330035072751,131,0,PASS
wine,178,13,3,8,24,154,415,constant_0003,constant,constant,0.0003,0.948051948051948,0.9489494977182856,0.602014362070283,0.0016380420056520961,179,0,PASS
wine,178,13,3,8,24,154,415,constant_001,constant,constant,0.001,0.9545454545454546,0.9549953314659195,0.4097064392266759,0.0015766350043122657,145,0,PASS
